time.period,BC.AD,author,dynasty,poem.type,theme,religion,book,chapter,title,content
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,144,The Grove at Zhu,"“Why are you in Zhu Grove? 
 Have you followed after Xia Nan?” 
“I have not gone to Zhu Grove, 
 To follow after Xia Nan.” 
“I drove my team of four horses, 
I rested in the outskirts of Zhu; 
I teamed my four colts, 
 And breakfasted in Zhu.” 
“Why are you in Zhu Grove? 
 Have you followed after Xia Nan?” 
“I have not gone to Zhu Grove, 
 To follow after Xia Nan.” 
“I drove my team of four horses, 
 I rested in the outskirts of Zhu; 
I teamed my four colts, 
 And breakfasted in Zhu.” 
“Why are you in Zhu Grove? 
Have you followed after Xia Nan?” 
“I have not gone to Zhu Grove, 
 To follow after Xia Nan.” 
“I drove my team of four horses, 
 I rested in the outskirts of Zhu; 
I teamed my four colts, 
 And breakfasted in Zhu.” 
"
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,6,The Peach Tree Tender,"The peach tree budding and tender
2 Vivid and bright its flowers
This girl is going to be married,
4 And fit for her chamber and house.
The peach tree budding and tender, 
6 Quite large its fruit.
This girl is going to be married, 
8 And fit for her house and chamber. 
The peach tree budding and tender
10 Its leaves luxuriant and lush.
This girl is going to be married, 
12 And fits with all in the family. "
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,228,Mulberries in the Lowlands,"Lovely are many mulberries in the lowlands
2 Their leaves are flourishing.
Now I have seen my lord,
4 How great is my pleasure! 
Lovely are many mulberries in the lowlands,
6 Their leaves are tender, 
Now I have seen my lord, 
8 How could I not feel pleasure? 
Lovely are many mulberries in the lowlands,
10 Their leaves are dark. 
Now I have seen my lord,
12 His charismatic reputation is very firm. 
In my heart I cherish him, 
14 Why should I not say it? 
In the core of my heart I treasure him
16 When could I ever forget him?"
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,76,"I Beg of You, Zhong Zi","I beg of you, Zhong Zi,
2 Don’t cross into my hamlet. 
Don’t break my planted willows, 
4 Could I care so much for them? 
It’s father and mother I dread. 
6 Zhong, you’re embraceable . . . 
But the talk of my father and mother is
8 Indeed something dreadful. 
I beg of you, Zhong Zi, 
10 Don’t climb over my wall. 
Don’t break my planted mulberries. 
12 Could I care so much for them? 
It’s all my brothers I dread. 
14 Zhong, you’re embraceable . . . 
But the talk of all my brothers is 
16 Indeed something dreadful. 
I beg of you, Zhong Zi, 
18 Don’t leap into my garden. 
Don’t break my planted hardwoods. 
20 Could I care so much for them? 
I dread others will talk too much, 
22 Zhong, you’re embraceable . . . 
But others’ talking too much is 
24 Indeed something dreadful."
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,10,The Banks of the Ru,"Walking along the banks of the Ru, 
2 Cutting the slender stems; 
Not yet seeing my lord, 
4 My desire is like morning hunger. 
Walking along the banks of the Ru, 
6 Cutting the slender sprouts; 
Having seen my lord,
8 He did not desert me after all. 
The bream has a reddened tail, 
10 The royal chamber as if ablaze.
But even though it is as if ablaze, 
12 Father and mother are very near"
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,42,The Retiring Girl,"The retiring girl, lovely 
2 Was to wait for me at this corner of the wall. 
But she hides and will not show herself 
4 As I scratch my head, pace up and down. 
The retiring girl, fine, 
6 Gave me a vermilion stalk. 
The vermilion stalk is so red 
8 I delight, am cheered by the girl’s beauty. 
From the pastures she brought me a reed sprout,
10 Truly beautiful and remarkable. 
“It is not that you, sprout, are beautiful
12 A beautiful girl made you my gift.”"
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,22,The River Has Branches,"The River has branches that leave and return— 
2 When this person returned home, 
He did not take me, 
4 He did not take me, 
And afterward he will regret it!
6 The River has channels ’tween its islets— 
When this person returned home, 
8 He would not be close to me, 
He would not be close to me, 
10 And afterward he will be troubled by it! 
The River has the Tuo tributary— 
12 When this person returned home, 
He did not stop by to see me, 
24 pre-qin times
14 He did not stop by to see me, 
His wailing will become my song."
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,21,Little Stars,"Faint are those little stars, 
2 Three and five of them in the east. 
Hurriedly mid the night we go
4 In morning and at night we are in the palace
Really people’s lots are not the same! 
6 Faint are those little stars, 
Of Orion and the Pleiades. 
8 Hurriedly mid the night we go, 
Carrying our coverlets and sheets
10 Really people’s lots are not similar!"
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,13,Gathering the White Artemesia,"Where do I gather the white artemesia?
2 By the pond, by the islet. 
Whether do I use it? 
4 In the service of the ruler. 
Where do I gather the white artemesia? 
6 All down the dale. 
Whether do I use it? 
8 In the palace of the ruler. 
The glossy sheen of my hair knot, 
10 Morning and night I am in the ruler’s service. 
In disheveled profusion the hair in my knot, 
12 As I hurriedly return."
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,168,Send Out the Chariots,"The spring days long, so long, 
2 The plants and trees lushly leafed. 
The orioles warble in harmony as
4 Gathering white artemesia go the women
in profusion. 
We have seized for questioning the
captured caitiffs. 
6 As we hurriedly return. 
Awe-inspiring is Nanzhong— 
8 The Xianyun are pacified! "
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,156,The Kudzu Vine Grows Longer,"The kudzu vine is grown longer 
2 Spread to the middle of the valley— 
It has leaves so luxuriant. 
4 The yellow birds take to flight,
Gather in the copse of trees 
6 And sing in a chorus of warbling. 
The kudzu vine is grown longer 
8 Spread to the middle of the valley— 
It has leaves so dense. 
10 Cut it, boil it, 
For the fine cloth and the coarse; 
12 I shall not tire of wearing them. 
Told and taught by the duenna 
14 Told and taught about being married— 
Rinsing clean my underclothes 
16 Washing out my jacket—
What should I wash, what not? 
18 I am going home to ask after my parents."
